Scan:    530 SDSSJ001847.44+3 2015-10-27 +06 05 00.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -122.4307100753060098      0.0688995
    -121.8273465984602240      0.0716737
    -121.2239806920079133      0.0698699
    -120.6206123558492465      0.0866727
    -120.0172415900507588      0.0943789
    -119.4138683944793371      0.0837821
    -118.8104927692348269      0.1036095
    -118.2071147142506504      0.1216029
    -117.6037342294935542      0.1423690
    -117.0003513149967773      0.1384478
    -116.3969659706937847      0.1513230
    -115.7935781966511399      0.1655414
    -115.1901879927357015      0.1880952
    -114.5867953590473149      0.2033783
    -113.9834002954861489      0.2008907
    -113.3800028021187671      0.2133935
    -112.7766028788119996      0.2206604
    -112.1732005256990163      0.2441786
    -111.5697957427132536      0.2450319
    -110.9663885297215558      0.2600403
    -110.3629788868903603      0.2814255
    -109.7595668140532155      0.2964292
    -109.1561523113100236      0.2988378
    -108.5527353785276006      0.3335178
    -107.9493160158391163      0.3512357
    -107.3458942231114150      0.3373512
    -106.7424700004110747      0.3266145
    -106.1390433476382498      0.3310420
    -105.5356142648594897      0.3509939
    -104.9321827519749490      0.3529722
    -104.3287488090511914      0.3659048
    -103.7253124360882310      0.3783392
    -103.1218736329529406      0.3587191
    -102.5184323997451372      0.3606075
    -101.9149887363650038      0.3543618
    -101.3115426428790755      0.3694011
    -100.7080941191875496      0.3583586
    -100.1046431653569471      0.3501238
     -99.5011897813207042      0.3428440
     -98.8977339671121314      0.3428194
     -98.2942757226313546      0.3147218
     -97.6908150479782336      0.3025912
     -97.0873519430862046      0.3051872
     -96.4838864078554224      0.2882994
     -95.8804184424189998      0.2720064
     -95.2769480466438239      0.2510352
     -94.6734752205964440      0.2586578
     -94.0699999641770290      0.2379188
     -93.4665222774854101      0.2167087
     -92.8630421603884599      0.2189123
     -92.2595596129527564      0.1856443
     -91.6560746351117075      0.1822195
     -91.0525872269319052      0.1891916
     -90.4490973883467717      0.1744476
     -89.8456051192564615      0.1533023
     -89.2421104197941020      0.1556266
     -88.6386132898265657      0.1313495
     -88.0351137294536841      0.1169308
     -87.4316117385423581      0.1154990
     -86.8281073171924049      0.1040118
     -86.2246004652707256      0.1093512
     -85.6210911828771231      0.1014709
     -85.0175794698784841      0.1166061
     -84.4140653263746970      0.0985460
     -83.8105487522991268      0.0859210
     -83.2070297476185488      0.0747282
     -82.6035083123662162      0.0797068
     -81.9999844464422836      0.0821733
     -81.3964581499465964      0.0843345
     -80.7929294227460275      0.0826841
     -80.1893982649404506      0.0696866
     -79.5858646764299635      0.0736566
     -78.9823286572811725      0.0902309
     -78.3787902073609359      0.0796779
     -77.7752493267690852      0.0746443
     -77.1717060154058032      0.0850337
     -76.5681602733376252      0.0976348
     -75.9646121005312835      0.0760935
     -75.3610614968869186      0.0850527
     -74.7575084624711224      0.1059797
     -74.1539529972505704      0.1045233
     -73.5503951012252912      0.0886620
     -72.9468347743287211      0.1034684
     -72.3432720166274095      0.1315719
     -71.7397068280215109      0.1269979
     -71.1361392085776032      0.1330347
     -70.5325691581958267      0.1317617
     -69.9289966769427451      0.1325885
     -69.3254217647850766      0.1266459
     -68.7218444216229898      0.1552714
     -68.1182646475562876      0.1512671
     -67.5146824424851673      0.1600107
     -66.9110978064761923      0.1542106
     -66.3075107394294747      0.1654605
     -65.7039212414116207      0.1600141
     -65.1003293123227422      0.1706309
     -64.4967349522294597      0.1823269
     -63.8931381610318638      0.2066913
     -63.2895389388298426      0.2089582
     -62.6859372855568182      0.2140115
     -62.0823332011129452      0.2259028
     -61.4787266855980619      0.2088820
     -60.8751177389123228      0.2230490
     -60.2715063611223059      0.2514600
     -59.6678925521614332      0.2580313
     -59.0642763120297118      0.2402887
     -58.4606576406938387      0.2662182
     -57.8570365381871241      0.2807463
     -57.2534130044429830      0.2971013
     -56.6497870394947043      0.2905955
     -56.0461586432424355      0.3033892
     -55.4425278157860362      0.3310410
     -54.8388945570589286      0.3300217
